
DAY: 0, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 1, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 2, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 3, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 4, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 5, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 6, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 7, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 8, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 9, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 10, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 11, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 12, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 13, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 14, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 15, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 16, GasOnDestination: 0.8865288544358317%, SatisfiedDestination:0.96%
DAY: 17, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 18, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 19, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 20, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 21, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 22, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 23, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 24, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 25, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 26, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 27, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 28, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 29, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 30, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 31, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 32, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 33, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 34, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 35, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 36, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 37, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 38, GasOnDestination: 0.4732127476313523%, SatisfiedDestination:0.48%
DAY: 39, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 40, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 41, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 42, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 43, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 44, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 45, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 46, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 47, GasOnDestination: 0.9474677002583982%, SatisfiedDestination:0.96%
DAY: 48, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 49, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 50, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 51, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 52, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 53, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 54, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 55, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 56, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 57, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 58, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 59, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 60, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 61, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 62, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 63, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 64, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 65, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
